;span.start;span.end;span.n;arima;arima.mean;arima.p;arima.d;arima.q;arima.bp;arima.bd;arima.bq;m-statistics.m7;m-statistics.q;m-statistics.q-m2;diagnostics.out-of-sample.mean;;diagnostics.out-of-sample.mse;;diagnostics.fcast-outsample-mean;;diagnostics.fcast-outsample-variance;;regression.nout;residuals.kurtosis;;;residuals.skewness;;;residuals.lb2;;;diagnostics.seas-sa-qs;;diagnostics.seas-sa-qs;diagnostics.seas-sa-f;;diagnostics.seas-i-qs;;diagnostics.seas-i-qs;diagnostics.seas-i-f;;diagnostics.td-sa-last;;diagnostics.td-i-last;;residuals.lb;;;residuals.dh;;;residuals.doornikhansen;;
IPI_nace4 * RF0812 (frozen);1990-01-01;2024-04-01;412;;;3;0;0;0;1;1;0,130112216;0,9562907;0,984475473;;;;;-0,439852;0,6603;1,044444;0,4084;4;3,442251;0,071;Normal with Mean = 3.0 and Stdev = 0.2449489742783178;-0,113325;0,3548;Normal with Mean = 0.0 and Stdev = 0.1224744871391589;58,139956;0;Chi2 with 20.0 degrees of freedom ;11,167732;0,0038;;0,305494;0,9846;5,882654;0,0528;;0,477028;0,9173;49,495251;0;52,506885;0;55,789403;0;Chi2 with 20.0 degrees of freedom ;;;;4,453886;0,1079;Chi2 with 2.0 degrees of freedom 
IPI_nace4 * RF0893 (frozen);1990-01-01;2024-04-01;412;;;0;1;1;0;1;1;0,291433454;1,102927874;1,138821351;;;;;0,094455;0,9248;2,007286;0,0088;2;3,181801;0,4585;Normal with Mean = 3.0 and Stdev = 0.24525573579398632;-0,035819;0,7702;Normal with Mean = 0.0 and Stdev = 0.12262786789699316;25,641586;0,2674;Chi2 with 22.0 degrees of freedom ;0;1;;0,762659;0,6775;0;1;;0,605363;0,8245;1,819844;0,0939;1,981789;0,0671;28,557772;0,1579;Chi2 with 22.0 degrees of freedom ;;;;1,11863;0,5716;Chi2 with 2.0 degrees of freedom 
IPI_nace4 * RF0899 (frozen);1990-01-01;2024-04-01;412;;;3;1;1;0;1;1;0,268023401;0,749730705;0,758357573;;;;;0,290324;0,7717;0,764684;0,7418;6;3,409477;0,095;Normal with Mean = 3.0 and Stdev = 0.24525573579398632;0,060067;0,6243;Normal with Mean = 0.0 and Stdev = 0.12262786789699316;24,932915;0,1628;Chi2 with 19.0 degrees of freedom ;1,37516;0,5028;;0,294019;0,9869;0,032695;0,9838;;0,358252;0,9709;20,244562;0;21,186669;0;53,296552;0;Chi2 with 19.0 degrees of freedom ;;;;3,74447;0,1538;Chi2 with 2.0 degrees of freedom 
IPI_nace4 * RF1011 (frozen);1990-01-01;2024-04-01;412;;;3;0;1;0;1;1;0,455888095;1,663390092;1,498191115;;;;;-1,002944;0,3165;2,202854;0,0033;3;3,228593;0,3507;Normal with Mean = 3.0 and Stdev = 0.2449489742783178;-0,035523;0,7718;Normal with Mean = 0.0 and Stdev = 0.1224744871391589;26,045426;0,1289;Chi2 with 19.0 degrees of freedom ;24,893575;0;;0,602652;0,8268;20,713264;0;;0,647395;0,7878;161,375586;0;171,579041;0;103,174002;0;Chi2 with 19.0 degrees of freedom ;;;;1,531661;0,4649;Chi2 with 2.0 degrees of freedom 
IPI_nace4 * RF1012 (frozen);1990-01-01;2024-04-01;412;;;3;1;1;0;1;1;0,418831568;1,425969478;1,444152943;;;;;-0,173449;0,8624;1,508764;0,0832;3;2,992264;0,9748;Normal with Mean = 3.0 and Stdev = 0.24525573579398632;-0,169454;0,167;Normal with Mean = 0.0 and Stdev = 0.12262786789699316;45,789253;0,0005;Chi2 with 19.0 degrees of freedom ;40,320082;0;;0,105407;0,9999;29,648472;0;;0,188921;0,9981;168,149272;0;161,092668;0;91,496197;0;Chi2 with 19.0 degrees of freedom ;;;;1,961969;0,3749;Chi2 with 2.0 degrees of freedom 
