;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2015-12-01;92,367034;92,449844;99,255857;92,954181;107,547143;110,106282;85,305546;94,107721;127,346697;95,293183
2016-01-01;92,794254;99,624057;107,788756;92,557594;105,837697;109,900219;85,847796;94,396853;123,689177;103,727607
2016-02-01;91,756658;104,588369;103,206135;92,433621;103,048816;109,23996;84,211728;90,074957;122,951487;101,163584
2016-03-01;89,36378;113,417023;74,405271;94,715515;106,185165;110,616823;86,623226;90,651675;116,035528;98,664279
2016-04-01;88,548738;86,094724;111,746104;90,201148;99,957368;103,36023;80,061941;88,458894;133,720648;93,407602
2016-05-01;92,277758;91,770947;107,734791;91,550088;98,877785;105,444419;83,480627;90,798966;128,142339;89,068026
2016-06-01;92,017483;102,039775;111,562373;90,773244;97,554629;107,321001;82,471622;94,304028;118,385781;88,905644
2016-07-01;90,371518;103,25116;115,890217;92,136756;99,659436;108,741572;83,833226;83,688121;134,938778;90,571104
2016-08-01;95,214994;99,802704;106,435786;93,815071;105,045248;109,359796;85,754696;92,411732;134,735116;95,468398
2016-09-01;94,800196;98,939937;110,706927;92,084168;104,30396;107,350762;82,317952;94,443727;136,575756;99,193228
2016-10-01;92,123685;90,09924;110,623864;90,344081;103,11712;108,841746;81,795944;95,006263;136,207193;94,006746
2016-11-01;94,686421;113,116081;115,392038;94,244862;106,211242;108,833706;83,561513;92,54091;134,70959;97,645541
2016-12-01;92,482253;97,655927;117,191939;89,537587;100,320841;104,383048;85,074123;94,258087;132,536692;103,883191
2017-01-01;82,577295;103,678992;109,83977;88,452401;100,82894;104,32653;81,141196;92,873564;128,079069;100,133798
2017-02-01;100,775016;94,114449;118,169485;90,760594;102,803663;107,257075;79,747772;95,156552;133,433585;105,536585
2017-03-01;93,419276;101,530606;118,41041;88,916374;100,347571;102,254344;80,081347;93,889812;130,982447;107,213732
2017-04-01;91,826975;98,699045;100,993985;91,634754;98,863221;106,002849;83,556016;96,148947;127,009821;105,100354
2017-05-01;94,614334;112,507301;112,128137;92,718558;100,079815;107,863634;84,628794;94,594744;122,788773;114,725634
