;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2016-05-01;5,162055;-3,59441;6,786667;1,034916;1,858111;1,010518;0,975194;9,990962;1,070132;0,601241
2016-06-01;19,413062;7,569647;6,569343;1,031312;1,890037;1,024841;1,132666;13,323259;1,178525;1,069583
2016-07-01;10,496419;9,08564;-3,570307;0,916139;-7,858032;0,970516;0,977942;-16,669395;0,948964;1,326953
2016-08-01;-21,579417;-37,85073;-22,064537;1,022217;0,745485;1,030034;0,870255;3,436902;0,997861;1,651833
2016-09-01;10,61868;8,194105;7,499185;1,022875;3,332505;1,009526;1,070092;-2,196902;0,987064;1,916376
2016-10-01;9,056138;7,726097;6,067054;0,993915;0,906153;1,045154;0,997259;0,654162;0,919683;1,275435
2016-11-01;2,717931;7,888764;3,369142;0,976507;-1,241355;1,025479;0,978589;-3,03603;0,943874;0,930479
2016-12-01;-24,199531;-10,846153;-16,01382;1,043585;11,942927;1,040801;1,130617;-13,073382;0,954816;0,705333
2017-01-01;-14,846171;16,853111;2,971258;1,038785;2,618707;1,001525;0,94865;-2,108879;1,043726;0,678988
2017-02-01;-9,68289;5,106548;2,92815;0,917647;-9,602279;0,90647;0,90192;-7,309565;0,917091;0,634092
2017-03-01;13,160273;6,784057;16,562279;1,103734;6,763408;1,021701;1,091296;8,36795;1,091908;0,693983
2017-04-01;2,774203;-16,515979;-5,357672;0,940818;-7,445274;0,933354;0,95934;6,970218;0,990839;0,5614
2017-05-01;5,196324;-4,587872;7,301961;1,029617;1,592502;1,00726;0,97472;10,842128;1,079621;0,613422
2017-06-01;15,409529;7,660165;3,322369;0,994608;-2,246727;0,999798;1,09495;12,538187;1,118395;1,032811
2017-07-01;10,07652;9,052948;-4,568548;0,914491;-7,842537;0,970444;0,972635;-15,644164;0,98559;1,307042
2017-08-01;-21,978809;-37,240879;-21,664756;1,023909;0,473532;1,02735;0,881164;4,289789;1,006742;1,633181
2017-09-01;6,191466;7,185194;3,233889;0,983963;-0,628978;0,983422;1,032333;-3,112151;0,928767;1,839533
2017-10-01;13,459846;7,527698;9,125984;1,031681;5,286813;1,073851;1,027772;0,606105;0,98915;1,308928
2017-11-01;7,39365;7,280389;6,586095;1,015841;3,079065;1,055939;1,008954;-1,559193;0,994756;0,97098
2017-12-01;-31,882832;-9,468837;-22,817797;0,966931;3,736391;0,988243;1,036651;-17,128904;0,871854;0,659621
2018-01-01;-15,482873;14,688747;2,901761;1,037107;2,494919;1,002404;0,963427;-1,678158;1,062753;0,685782
2018-02-01;-9,233816;3,865485;3,300846;0,916847;-9,356128;0,905535;0,913147;-7,956446;0,921305;0,640872
2018-03-01;10,176705;8,278451;12,849814;1,066378;2,336284;0,994273;1,053173;8,073151;1,040391;0,685004
2018-04-01;5,912237;-13,901674;-0,800834;0,980022;-3,522439;0,956677;0,991309;7,462461;1,018476;0,594788
2018-05-01;1,118591;-4,275821;3,570204;0,988076;-2,740783;0,977819;0,937488;10,3374;1,025158;0,606867
2018-06-01;15,510674;7,063053;3,708385;0,996108;-2,228256;1,000856;1,095767;12,485096;1,058891;1,032882
2018-07-01;17,569078;8,846088;1,356209;0,987946;0,512185;1,024499;1,037186;-12,982517;1,078454;1,385788
2018-08-01;-22,16016;-38,505154;-20,889562;1,020766;0,457865;1,025469;0,890198;5,042744;0,992257;1,606432
2018-09-01;1,588075;6,471419;-0,879684;0,946417;-4,633753;0,957813;0,995618;-3,617545;0,910847;1,748486
2018-10-01;17,883238;8,107283;12,724154;1,070339;9,627794;1,103935;1,065238;0,942038;1,041773;1,358849
2018-11-01;7,556308;5,764288;5,789246;1,018998;3,640612;1,058124;1,009292;-1,329939;0,955264;0,981254
2018-12-01;-31,649938;-6,725186;-22,269662;0,964197;3,543167;0,990247;1,020785;-19,274475;0,851135;0,659643
2019-01-01;-15,778517;12,924938;2,964488;1,035297;2,238128;1,002907;0,975307;-0,916371;1,076007;0,696441
2019-02-01;-8,518701;3,246948;3,715916;0,916358;-9,239823;0,906122;0,925502;-8,304092;0,928144;0,646785
2019-03-01;7,101798;9,649844;8,63903;1,030441;-2,159552;0,968547;1,016438;7,967874;0,975096;0,670807
2019-04-01;9,278548;-10,592717;4,470881;1,02111;0,216965;0,978807;1,019773;8,292006;1,065908;0,628249
2019-05-01;4,922634;-2,955524;6,459059;1,018752;0,980463;1,003957;0,96405;11,592817;1,044578;0,638528
2019-06-01;7,490238;4,316341;-3,901738;0,926913;-10,328722;0,947852;1,021741;10,242593;0,991479;0,961961
2019-07-01;20,691012;7,791681;4,514647;1,033126;4,86278;1,050906;1,065883;-12,140458;1,115561;1,433781
2019-08-01;-25,753158;-40,271252;-23,216023;0,979911;-3,495899;0,99739;0,867825;4,241453;0,924689;1,522669
2019-09-01;5,253202;6,369644;2,265808;0,979646;-0,401223;0,984791;1,027614;-1,82464;0,947236;1,781373
2019-10-01;18,021301;7,551949;12,691975;1,069166;10,095785;1,104995;1,073028;0,638234;1,093921;1,371907
2019-11-01;-0,538947;4,28177;-2,667215;0,948624;-3,861335;1,003298;0,946941;-2,810313;0,911664;0,919713
2019-12-01;-27,622761;-3,212228;-18,975075;0,997054;7,57068;1,018871;1,046115;-20,312264;0,917578;0,681396
2020-01-01;-16,021155;12,059379;3,349059;1,03279;2,040939;1,003673;0,985753;-0,536366;1,056544;0,709643
2020-02-01;-6,326408;6,077291;-5,511921;0,93394;-10,677036;0,928244;0,949025;-4,281927;0,922102;0,645431
2020-03-01;12,081224;11,187132;12,304478;1,072617;1,064965;0,996207;1,04678;9,969903;1,038129;0,696836
2020-04-01;8,751335;-8,774422;5,620447;1,023337;-0,33799;0,975197;1,010853;8,29805;1,075155;0,640801
2020-05-01;-3,242066;-1,449016;-2,131331;0,93905;-7,367763;0,951027;0,892708;9,56809;0,958692;0,607606
2020-06-01;15,732244;2,424278;3,069046;1,003362;-2,108981;1,000775;1,09484;12,930142;1,074624;1,029742
2020-07-01;15,760202;6,201219;0,822886;1,001338;1,20493;1,021064;1,020831;-13,840051;1,063829;1,392433
2020-08-01;-25,322332;-41,960361;-21,856673;0,977086;-2,981329;0,996561;0,876254;3,925444;0,935601;1,49407
2020-09-01;9,084011;6,566357;5,935557;1,014962;3,825954;1,011956;1,060593;-0,251538;1,016637;1,807361
2020-10-01;14,007415;7,303999;8,774855;1,027894;6,366523;1,074861;1,04603;-0,912636;1,020964;1,339965
2020-11-01;3,246479;4,577259;0,136615;0,987345;0,540666;1,031805;0,988377;-0,876014;0,943402;0,948527
2020-12-01;-23,530287;-1,285316;-16,0867;1,030976;11,612306;1,048976;1,082103;-20,480686;1,005116;0,706251
2021-01-01;-24,21804;10,882569;-4,065238;0,956704;-6,255352;0,952088;0,922335;-2,677921;0,95932;0,674778
2021-02-01;-7,174711;2,664876;5,216642;0,919023;-9,547671;0,908047;0,938666;-8,852015;0,938376;0,659159
2021-03-01;16,307841;12,496953;16,158032;1,116433;4,532483;1,024518;1,081078;11,954583;1,080126;0,722675
2021-04-01;8,506413;-8,63349;6,679039;1,025361;-0,900349;0,972838;0,999203;8,587055;1,046826;0,6509
2021-05-01;0,611619;0,133584;0,50635;0,96915;-3,356178;0,976568;0,920639;10,78572;0,988004;0,635426
2021-06-01;19,870587;0,556769;6,291717;1,044498;1,910818;1,027631;1,129484;14,636088;1,111321;1,06399
2021-07-01;10,925332;6,634209;-1,854493;0,968714;-2,598428;0,992585;0,977235;-15,883494;1,029813;1,352561
2021-08-01;-20,470399;-41,470199;-17,327791;1,011364;1,500056;1,023773;0,915655;5,017425;0,987906;1,524384
