;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2016-07-01;100,867938;112,3368;112,31991;84,41003;91,801404;105,535429;81,984052;67,018727;128,052046;120,18359
2016-08-01;73,635577;61,951974;84,371249;95,899357;105,790733;112,644279;74,62846;95,848634;134,446867;157,697888
2016-09-01;105,418876;107,134042;118,206112;94,190615;107,636466;108,37342;88,08776;92,246825;134,809064;190,091509
2016-10-01;101,179823;97,825337;116,690918;89,794301;104,023273;113,756402;81,571737;95,660426;125,267433;119,89949
2016-11-01;97,404353;121,004845;118,761179;92,030765;104,969887;111,606666;81,772401;89,50488;127,148833;90,857152
2016-12-01;68,282723;86,809774;101,178118;93,440113;112,263768;108,642012;96,186226;81,184706;126,548119;73,272193
2017-01-01;67,731123;120,532104;112,811028;91,882999;103,447647;104,485625;76,974573;90,764685;133,679438;67,989633
2017-02-01;91,092127;99,220997;121,097635;83,286179;93,201384;97,225346;71,926124;87,846987;122,370772;66,919914
2017-03-01;106,579548;108,314663;134,97269;98,139986;107,110979;104,473353;87,392416;102,257762;143,020739;74,404466
2017-04-01;94,601177;82,183066;95,636313;86,211611;91,417947;98,93816;80,158663;103,119164;125,84626;59,003332
2017-05-01;99,810658;107,919429;119,430099;95,464593;101,672318;108,646713;82,489396;105,436872;132,565365;70,375187
2017-06-01;107,433867;116,347456;65,483608;91,521884;97,853501;107,180287;94,179909;107,931988;145,346348;116,955776
2017-07-01;105,08647;120,630462;96,533596;82,931465;94,385953;102,04002;80,597073;76,88245;129,121758;131,283244
2017-08-01;69,926493;65,721943;86,192786;94,389768;104,398238;109,081905;72,211485;100,196304;132,383769;168,396263
2017-09-01;97,291537;112,276369;118,784792;91,628624;102,966558;106,181384;88,192493;89,661468;120,482276;182,346007
2017-10-01;109,785802;121,558885;120,00556;95,193072;107,488338;111,23382;84,317596;94,525549;123,408854;133,62649
2017-11-01;105,262909;100,80092;120,928845;94,470264;105,665702;111,804843;82,303061;89,764938;125,001438;101,930052
2017-12-01;65,506681;96,713916;92,180207;89,24154;108,540803;105,872081;86,528598;80,246478;106,145817;67,147203
2018-01-01;79,48223;115,456192;108,601525;106,097652;109,177453;106,12657;79,635388;92,131715;133,367176;61,509175
2018-02-01;80,91864;109,717964;106,784374;93,477148;97,29647;96,439251;78,64454;85,156758;109,995002;59,908341
2018-03-01;104,87963;110,919503;116,874198;107,972025;112,644139;107,824672;91,85743;107,796466;127,488614;64,9731
2018-04-01;104,339334;110,336244;108,100127;99,657102;105,931048;99,336095;83,889354;106,808068;129,347886;57,12665
2018-05-01;98,336666;87,371027;115,640808;103,775823;110,218919;107,090561;85,368971;112,990553;128,479712;57,729253
2018-06-01;114,933025;105,839449;98,395163;99,02368;103,979189;105,513817;90,500769;111,687366;118,831031;99,349001
2018-07-01;119,454755;105,187313;120,832364;98,514327;105,08745;108,079376;83,662051;91,807112;127,546434;139,4851
2018-08-01;77,731031;59,114041;85,717527;103,049659;103,325591;108,121758;72,780947;108,438688;118,821026;161,677753
2018-09-01;101,577837;100,043096;98,565608;93,645596;97,647512;100,144115;81,662015;98,192981;111,900706;187,366104
2018-10-01;117,761053;111,467847;111,11869;109,531631;113,863053;116,616387;90,483761;101,021283;131,436834;132,372505
2018-11-01;100,129457;106,779011;101,452616;102,04103;105,626939;110,234044;76,765089;99,055479;115,172679;99,027776
2018-12-01;69,339975;101,900735;70,436895;96,919674;107,603108;104,656969;82,375443;76,85623;104,757845;65,46622
2019-01-01;79,967008;112,808427;101,609824;105,783592;107,291859;106,280272;82,965249;96,724533;133,955255;70,82671
2019-02-01;88,792953;108,152139;96,414219;92,317894;95,394299;95,749805;75,139101;89,220135;113,19934;65,252515
2019-03-01;107,967402;99,212835;104,887688;99,33429;101,06399;100,896812;82,258396;106,719813;113,444151;68,396596
2019-04-01;106,542103;109,912974;95,188808;106,295697;106,705741;105,697287;86,090548;103,844146;128,978036;63,378208
2019-05-01;101,639137;98,257304;101,190532;101,692599;107,049711;103,904977;77,102357;111,689178;128,456585;64,861145
2019-06-01;105,351267;115,212822;105,334321;92,341986;98,453054;100,913066;78,013583;110,425367;120,713915;96,757373
2019-07-01;123,151495;117,095832;102,875275;100,996143;106,017456;109,82028;93,424305;90,571329;132,148997;138,128847
2019-08-01;68,604848;71,576038;80,207734;97,954729;100,860683;104,190094;69,924356;103,801303;107,278915;137,065529
2019-09-01;102,47248;118,349501;99,272607;98,343984;102,712566;99,255295;83,654601;96,901045;106,349829;168,844121
2019-10-01;116,312175;113,692518;108,541792;108,138512;114,352536;114,91626;86,604969;100,389161;122,55578;143,578966
2019-11-01;97,09143;118,013096;93,977692;95,435689;100,121203;103,929541;78,295;97,931385;101,083199;88,423192
2019-12-01;69,066401;99,131533;74,777051;100,385784;111,268616;105,758114;82,907213;81,555746;103,204219;66,547581
2020-01-01;84,550662;119,814673;97,310887;103,072555;103,151405;102,789714;82,438692;102,508227;122,249302;68,865962
2020-02-01;93,003788;103,708922;95,265182;91,681776;92,841141;93,448847;82,652255;99,833123;108,8634;65,034738
2020-03-01;68,134594;105,512855;85,767467;100,182919;105,391579;101,807162;89,149303;94,774127;113,747106;64,331091
2020-04-01;44,201108;109,753589;74,176748;102,203764;102,510041;99,514371;87,808569;80,387129;121,046934;62,887447
2020-05-01;77,486837;94,524249;56,554599;91,464919;96,859211;97,372137;86,058605;74,971638;107,895787;61,5374
2020-06-01;112,292013;97,687791;59,710356;104,901258;103,722158;103,190444;105,918616;106,320672;122,393332;95,733322
2020-07-01;112,737309;104,24632;92,643174;103,434953;103,711175;103,638802;104,592352;103,640399;123,181847;124,101906
2020-08-01;75,256045;61,348577;61,551347;96,358276;96,229039;98,615749;87,865257;78,825701;109,124398;147,880211
2020-09-01;108,812633;108,817738;99,180939;101,346993;103,917898;101,829793;106,881588;93,569326;133,101807;182,055889
2020-10-01;106,737242;90,109321;111,839755;101,527649;105,198981;107,630582;100,451817;89,963958;123,366876;135,013902
2020-11-01;103,847032;92,660635;98,150581;96,494882;100,634486;100,408873;99,219236;94,798792;115,791213;96,764419
2020-12-01;74,799308;92,213152;98,958709;105,017929;115,77916;106,484331;108,430602;70,249753;101,353931;67,1374
2021-01-01;81,820383;98,756275;104,852706;97,085285;92,184881;97,018573;98,23698;96,847602;91,709059;65,918316
2021-02-01;91,507113;102,346512;105,788109;93,399012;87,553883;89,88015;100,500184;82,242358;88,325006;60,867992
2021-03-01;117,508364;116,178341;116,714242;113,690768;101,386363;102,709547;109,53278;104,693403;108,126206;68,769618
2021-04-01;107,738199;96,090682;114,66855;100,880843;92,539288;97,750606;101,535537;112,897669;100,381616;63,230185
2021-05-01;101,828076;106,648286;101,347669;96,435878;91,040018;95,452786;89,02699;100,421599;93,602851;60,352821
2021-06-01;124,903272;99,521022;105,142742;103,14807;101,186837;99,372102;112,993004;111,67926;107,7602;102,416025
2021-07-01;108,960422;94,348066;89,725272;97,922494;99,622482;99,244461;95,398147;80,798127;104,838484;135,035778
2021-08-01;78,579608;48,593158;74,30368;99,300027;103,834165;101,586751;90,707395;105,781531;100,690944;150,19019
2021-09-01;107,884595;107,271503;104,329377;100,219491;107,66932;101,666895;101,513827;107,783888;103,127865;172,798942
2021-10-01;107,562663;112,024676;100,336937;96,234354;103,879956;104,151887;99,293153;107,72258;101,238749;151,165979
2021-11-01;98,889889;108,448408;78,764914;99,845812;104,133143;104,758153;95,213898;103,726811;97,40033;94,352577
2021-12-01;72,817416;109,773072;104,025801;101,837966;114,969664;106,408091;106,048106;85,405171;102,798691;74,901577
2022-01-01;80,630152;123,67056;91,864063;94,494517;98,854602;96,36568;90,307498;109,479525;103,132841;76,269479
2022-02-01;93,808016;108,607396;102,901534;89,345316;91,256111;90,017011;86,76566;99,718064;102,007719;70,976928
2022-03-01;115,904779;114,415027;113,437103;108,105678;102,551867;102,20475;101,074935;122,035215;117,324806;75,913778
2022-04-01;98,990724;89,725825;101,634286;96,648083;83,015358;90,971832;87,844667;114,212741;101,573811;63,45365
2022-05-01;104,177257;105,492089;98,428861;98,849269;84,208687;98,528998;94,656024;121,10597;107,268194;70,997334
2022-06-01;110,866075;97,700752;90,895874;97,703583;81,125815;99,422907;105,98465;126,191723;117,878021;115,222203
2022-07-01;97,661561;103,464923;93,279985;89,935661;80,196222;93,949498;89,712566;102,542577;103,972581;131,340093
2022-08-01;72,853622;51,478221;82,294018;98,805706;92,889117;102,041123;90,948064;112,577517;110,342845;142,472931
2022-09-01;101,003401;90,177306;98,723873;97,235152;95,13469;100,759784;103,471398;105,008295;115,529223;165,81457
2022-10-01;101,887426;97,512643;83,433788;93,547434;95,577659;103,929111;100,44722;109,896396;104,843555;127,839529
2022-11-01;96,744432;102,055074;92,500021;95,869767;96,624898;102,574372;102,210386;112,375858;108,13416;101,857128
2022-12-01;68,335017;98,028783;64,378177;95,820381;103,683786;102,158723;109,581211;79,726512;98,576948;70,486636
2023-01-01;67,968814;119,109855;88,599377;94,894789;90,988413;98,30633;88,787605;107,240846;104,903482;71,677896
2023-02-01;84,24864;82,654915;93,966077;86,242209;77,982643;89,535649;89,644248;103,938654;96,012085;63,636201
2023-03-01;106,469614;99,480558;101,742606;103,244226;92,349979;99,949365;101,254817;127,509042;110,248597;68,629147
2023-04-01;91,289763;75,532363;84,752286;87,558447;81,361423;87,657932;86,587717;122,883358;93,543044;63,360655
2023-05-01;91,639694;113,867686;86,359754;93,907526;93,733758;96,453628;92,901217;128,938004;101,501619;66,392241
2023-06-01;110,053059;73,812261;94,946545;97,463002;98,437892;99,301524;106,079233;131,154988;114,956014;108,928164
2023-07-01;98,426046;99,049918;88,889746;85,243407;90,341925;94,049951;86,511404;87,445051;98,913734;133,279212
2023-08-01;70,295263;39,594204;74,500319;93,34483;100,300122;100,02482;85,394256;117,933471;110,870201;153,279034
2023-09-01;91,442673;98,27876;93,863122;88,40648;95,900714;96,978584;98,138044;112,877729;95,524755;177,293029
2023-10-01;99,145676;99,163824;97,336221;94,459974;102,949419;106,520026;101,617321;107,828285;103,880027;136,825253
2023-11-01;85,436674;86,705089;89,94389;93,202176;99,412167;104,344855;95,372064;116,421614;109,364965;87,487722
2023-12-01;57,208768;69,912562;67,729804;87,175911;101,421658;99,938103;95,73944;91,788954;86,166533;70,073832
2024-01-01;61,024986;86,606616;94,874714;96,610969;102,197332;101,385121;88,841069;109,325228;105,638851;72,19487
2024-02-01;80,763325;98,535005;89,751393;89,890592;95,022743;95,347877;90,413961;107,656776;96,498309;73,141826
2024-03-01;86,331644;109,254686;106,302336;93,976698;97,995301;96,62801;94,193896;127,627397;94,92666;68,495064
2024-04-01;93,457854;76,996464;99,109958;94,900417;100,257229;96,69884;92,175828;126,954443;100,834958;66,61053
2024-05-01;80,275382;78,920673;95,52958;92,288715;97,803766;98,436006;85,79005;126,714694;95,984837;62,344223
2024-06-01;93,814871;95,712609;91,578466;86,838257;91,366398;95,751981;90,754942;128,720218;90,642896;84,73842
2024-07-01;101,699736;115,32482;98,090371;93,209154;104,692254;105,529408;94,8587;99,364959;100,422891;146,338875
2024-08-01;58,160149;69,039482;67,795392;86,366677;93,756261;100,782375;83,682044;125,705129;80,410752;177,099702
2024-09-01;86,839327;96,84418;88,168521;91,395748;98,223743;98,347704;93,605219;114,247524;85,984759;165,274229
2024-10-01;97,253132;96,87901;84,305313;100,010652;108,97115;116,195384;106,050691;110,983291;89,066984;148,408233
2024-11-01;82,561112;89,839475;99,945614;86,094231;93,301063;102,333498;95,91693;112,683019;87,585138;91,493509
2024-12-01;60,162141;91,774775;63,04517;92,339571;106,011116;103,260269;107,721612;97,527475;86,788243;69,253378
2025-01-01;61,063183;69,357998;94,055078;94,926844;104,537799;101,920805;88,22695;114,369844;95,090575;76,159934
2025-02-01;73,453705;98,113411;89,177528;84,410805;92,595927;93,43568;89,560555;105,333717;82,674861;69,821206
2025-03-01;85,525823;93,723266;92,190495;91,679398;98,912114;94,778471;94,215615;129,119675;79,300565;71,463179
2025-04-01;87,062636;89,850194;93,974322;96,447983;102,027152;100,713736;90,097127;121,236837;92,593903;70,282111
2025-05-01;73,73438;64,253497;81,803121;86,720093;98,303219;98,285555;83,561791;122,427808;84,6006;69,553267
2025-06-01;87,243261;82,732568;91,172398;89,130213;99,060403;97,607797;92,314543;120,673964;86,049821;111,540768
2025-07-01;93,735638;91,863553;107,093648;91,439626;104,670724;104,186088;93,084006;101,909586;102,16114;131,875381
2025-08-01;53,08987;51,843112;62,331022;82,398466;93,467891;98,040853;78,989334;118,658793;80,274955;130,721483
2025-09-01;85,742539;85,347921;96,377476;93,225961;101,317993;101,886323;97,412916;108,862938;84,72248;153,990845
2025-10-01;93,410172;83,882283;93,216682;97,200421;110,090435;110,473708;109,405266;106,504402;82,555209;120,719154
