;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1993-07-01;106,850253;82,005465;150,212979;44,864809;518,593742;428,279407;160,661651;16,155673;356,267382;82,468718;109,432461
1993-08-01;113,427968;77,122694;87,078626;37,388633;284,380149;59,567742;206,910088;37,340059;428,053649;77,563426;63,582778
1993-09-01;114,469921;78,764141;258,413383;39,864223;756,192665;667,737332;227,115102;49,56127;447,163509;79,215671;61,235482
1993-10-01;108,616043;82,30822;261,36582;39,234636;718,644729;600,319006;130,621726;49,829112;514,651834;82,776821;45,019407
1993-11-01;112,55542;84,253675;248,350581;37,259397;616,00318;525,122262;84,96276;44,318265;483,5717;84,73217;46,386625
1993-12-01;111,457985;86,105567;184,992449;42,601439;580,917415;386,186973;52,840022;41,718144;453,450582;86,593231;40,913244
1994-01-01;107,564096;85,923405;225,748971;41,592771;744,497358;592,926334;49,086112;46,950033;435,654969;86,408013;55,615385
1994-02-01;98,007142;81,07224;216,018227;31,217985;663,70772;436,637319;41,806619;39,13809;436,152252;81,534642;62,212405
1994-03-01;117,724325;93,345707;262,499148;37,614166;711,719877;583,085777;40,146223;43,970782;486,022593;93,877842;93,968827
1994-04-01;102,4705;90,005865;211,549881;34,231717;650,935214;560,90748;33,274301;43,683513;486,804037;90,51487;117,35301
1994-05-01;107,103433;92,59742;175,001834;43,040801;636,162195;482,218638;41,615646;40,101636;409,583152;93,11978;121,729349
1994-06-01;107,028229;86,821075;239,305609;53,489322;741,573532;546,819676;122,225762;35,679042;412,708929;87,312067;135,289889
1994-07-01;97,947415;77,672736;150,400664;49,436055;498,742498;420,915449;160,979431;16,378316;358,647234;78,112831;104,623261
1994-08-01;113,491449;78,570454;145,932311;57,122553;269,453398;121,002391;203,991844;43,861551;442,474845;79,020666;65,292455
1994-09-01;109,201733;82,195295;211,585974;43,084717;753,114953;660,796408;226,900027;49,705976;433,452717;82,668072;64,089628
1994-10-01;107,341366;87,063357;232,411788;39,150805;653,243498;615,408132;128,664945;54,750983;483,003377;87,5582;47,345483
1994-11-01;107,451186;88,722408;241,774388;40,704391;658,937266;432,835776;83,709952;50,153926;424,181949;89,225084;48,602455
1994-12-01;107,129864;88,605562;207,42803;40,052156;515,669915;384,633165;52,549923;51,277524;474,656134;89,105666;41,905619
