;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1993-12-01;1,041556;1,010826;-6,207073;-2,311344;0,84796;0,790289;0,533631;1,016464;1,076567;1,392241;0,515871
1994-01-01;0,971947;1,008776;24,654514;-1,227139;1,118919;1,270732;0,484925;1,115295;0,968765;0,577565;0,702294
1994-02-01;0,904484;0,952843;33,106648;-5,423844;1,055275;0,878039;0,41782;1,001397;0,98045;-4,179698;0,785085
1994-03-01;1,093904;1,096226;47,721507;3,083131;1,193676;1,157069;0,411595;1,099049;1,054159;8,265874;1,18964
1994-04-01;0,960205;1,06398;2,592698;4,183196;1,014052;1,122202;0,335377;1,03793;1,050473;5,401336;1,483089
1994-05-01;0,991513;1,080082;-34,104746;1,540125;0,940792;1,013959;0,420864;0,971376;0,8723;6,836703;1,521463
1994-06-01;1,011214;1,017062;25,173661;7,367386;1,167077;1,082568;1,245715;0,905548;0,924491;1,471578;1,706927
1994-07-01;0,93371;0,935071;-48,688923;0,127081;0,829355;0,885541;1,618162;0,547478;0,821593;-6,055405;1,319095
1994-08-01;1,074781;0,918479;-141,349516;-1,863884;0,458553;0,236691;2,07447;0,968211;0,987957;-6,312108;0,820278
1994-09-01;1,030146;0,935551;9,823155;-0,898659;1,152298;1,339724;2,31778;1,056301;1,045128;-5,665383;0,778715
1994-10-01;0,994556;0,972879;49,863098;-3,275168;1,130447;1,204406;1,288618;1,16887;1,149147;-2,585123;0,578075
1994-11-01;1,007145;1,005057;43,796199;-2,743051;1,089511;0,975004;0,850457;1,094906;1,06379;0,698159;0,592835
1994-12-01;0,988275;0,996794;-9,333823;-2,754067;0,827334;0,747136;0,525963;1,016818;1,064085;-0,094178;0,509873
1995-01-01;1,022488;1,033823;28,686676;3,245575;1,146811;1,279707;0,50082;1,118895;0,993926;2,935697;0,718351
1995-02-01;0,905148;0,953175;28,858845;-5,303907;1,056445;0,901046;0,420969;0,997742;0,971403;-4,315049;0,782161
1995-03-01;1,066076;1,090191;40,053708;0,669672;1,163896;1,187058;0,414243;1,100671;1,042128;7,817475;1,176161
1995-04-01;0,941648;1,036226;-2,738768;2,449257;1,014122;1,095412;0,332948;1,045004;1,022716;2,957614;1,443496
1995-05-01;1,047488;1,104243;-27,778363;3,088068;0,951274;1,004553;0,423278;0,992237;0,920058;9,017048;1,566226
1995-06-01;1,001598;1,015332;25,603135;5,702293;1,160978;1,144568;1,260728;0,92231;0,898833;1,279145;1,701286
1995-07-01;0,941971;0,928564;-46,587479;1,026938;0,827299;0,921054;1,600337;0,555822;0,837178;-6,78136;1,326986
1995-08-01;1,062788;0,919419;-140,217877;-0,635924;0,485415;0,233408;2,079985;0,951658;0,970551;-6,339147;0,82174
1995-09-01;0,988023;0,921631;5,563471;-3,903311;1,116273;1,264355;2,279891;1,032751;1,043708;-6,976698;0,76502
1995-10-01;1,040539;0,996551;57,559349;0,199421;1,177104;1,268792;1,295932;1,152447;1,191551;-0,304374;0,591044
1995-11-01;0,994454;1,002375;43,098801;-3,565912;1,078281;0,925323;0,850455;1,086456;1,009731;0,430194;0,593827
1995-12-01;0,951512;0,97316;-5,489653;-6,357189;0,7986;0,717266;0,521646;1,029468;1,075306;-2,228411;0,491545
1996-01-01;1,072417;1,062731;29,438952;6,253607;1,150629;1,255628;0,512482;1,122695;1,023543;5,611301;0,743219
1996-02-01;0,94384;0,99373;26,252141;-2,381992;1,119108;0,954158;0,442212;0,995536;0,983859;-0,592458;0,817147
1996-03-01;0,98991;1,046362;26,470218;-3,623837;1,099941;1,124675;0,407337;1,100921;0,992388;3,989259;1,118741
1996-04-01;1,032635;1,082294;1,126076;10,05653;1,037415;1,181847;0,33833;1,048989;1,102832;7,025062;1,524848
1996-05-01;1,032436;1,099677;-26,711968;1,434575;0,955969;1,014324;0,428785;1,013058;0,894273;8,650722;1,549401
1996-06-01;0,923056;0,970004;21,595749;-1,599421;1,127275;1,12378;1,236281;0,934454;0,850075;-2,939313;1,618574
1996-07-01;1,040822;0,970299;-34,68609;6,142488;0,876667;1,028906;1,631131;0,562392;0,92992;-2,575608;1,402906
1996-08-01;1,000797;0,89962;-142,137568;-3,427179;0,481748;0,215679;2,041683;0,939096;0,919665;-8,577486;0,802792
1996-09-01;0,994197;0,911219;7,076942;-4,746829;1,130576;1,227148;2,282264;1,017039;1,041158;-8,069137;0,760863
1996-10-01;1,073715;1,024253;62,403575;2,697138;1,241838;1,306948;1,303476;1,138341;1,215766;2,341131;0,607547
1996-11-01;0,948604;0,990044;42,06289;-4,961484;1,005127;0,864113;0,837663;1,073266;0,992019;-0,696942;0,580576
1996-12-01;1,00857;0,992314;-4,101985;-1,847344;0,820793;0,741233;0,52664;1,035516;1,135879;-0,384752;0,503189
1997-01-01;1,054133;1,06389;26,829205;5,251279;1,136899;1,232921;0,525316;1,131199;0,994659;5,747848;0,74066
1997-02-01;0,905632;0,957298;19,709233;-5,582819;1,05408;0,909048;0,430073;1,001758;0,940712;-4,252962;0,78392
1997-03-01;1,008952;1,043441;18,871773;-1,940507;1,098523;1,114761;0,407276;1,096399;0,982567;3,703236;1,129791
1997-04-01;1,029481;1,082786;3,670735;8,511905;1,045084;1,219319;0,340264;1,048079;1,115072;7,24303;1,519277
