;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1993-07-01;110,207788;85,225566;201,905149;41,275419;603,582588;498,264877;98,579498;30,131072;434,321302;85,940089;79,501842
1993-08-01;110,798999;85,958027;235,520022;42,736569;641,333003;254,786859;99,660096;38,002432;451,512086;86,044246;79,791864
1993-09-01;110,055531;84,458761;248,119534;40,749934;650,117198;499,3771;98,301816;45,832514;428,32433;85,201301;78,767319
1993-10-01;109,826381;84,510882;209,915917;43,474226;634,887131;495,382368;100,053616;42,146718;443,989924;85,224985;78,986855
1993-11-01;111,51481;84,312969;209,645181;38,416235;568,088298;514,253664;99,900847;40,45675;450,107669;84,701821;78,483488
1993-12-01;107,011025;85,183407;191,199522;44,912783;685,076817;488,665376;99,019837;41,042421;421,200483;85,200989;79,309041
1994-01-01;110,668663;85,175861;201,094457;42,81991;665,372188;466,602179;101,224165;42,096532;449,701505;85,830449;79,191017
1994-02-01;108,356985;85,084532;182,911579;36,641829;628,942609;497,287179;100,058826;39,08349;444,848894;85,714339;79,242861
1994-03-01;107,618529;85,151851;214,777641;34,531035;596,241996;503,933493;97,538087;40,008032;461,052333;85,611968;78,989264
1994-04-01;106,717285;84,593539;208,957183;30,048521;641,914856;499,82751;99,214665;42,087164;463,413988;85,113534;79,127428
1994-05-01;108,020192;85,731847;209,106579;41,500676;676,198282;475,580174;98,881444;41,28333;469,544139;86,283078;80,008096
1994-06-01;105,841359;85,364555;214,131948;46,121936;635,410885;505,113669;98,116952;39,400479;446,41735;85,840489;79,259348
1994-07-01;104,901362;83,066125;199,089587;49,308975;601,361875;475,3199;99,482903;29,915917;436,526647;84,168236;79,314435
1994-08-01;105,594905;85,544108;287,281827;58,986437;587,617252;511,226091;98,334425;45,301632;447,868505;85,332774;79,597941
1994-09-01;106,006083;87,85765;201,76282;43,983376;653,576321;493,23311;97,895401;47,056655;414,736476;88,333455;82,301731
1994-10-01;107,928941;89,490432;182,54869;42,425973;577,863254;510,964029;99,84722;46,840935;420,314873;90,143324;81,902009
1994-11-01;106,6889;88,276033;197,97819;43,447442;604,801031;443,932445;98,429361;45,806613;398,746024;88,526925;81,983096
1994-12-01;108,400911;88,890507;216,761854;42,806223;623,291421;514,810183;99,911892;50,429386;446,069907;89,199844;82,188382
1995-01-01;106,366296;87,480032;228,586161;41,851259;615,106259;492,439349;99,12448;46,23565;406,368153;88,014268;82,128098
1995-02-01;109,217922;87,118411;209,363966;44,755341;589,208416;517,679934;101,026454;47,27671;467,713627;87,827418;82,057213
1995-03-01;108,823362;87,846481;175,79849;43,80837;606,209481;470,983826;98,937301;49,392829;445,686134;88,497903;82,139994
1995-04-01;108,354252;88,014844;179,104927;47,572051;563,875121;425,518492;101,720741;49,856625;443,587198;88,760273;82,939575
1995-05-01;109,949068;88,626371;206,367867;45,464281;607,76132;423,158326;99,943046;50,074508;437,565726;89,401026;82,665659
1995-06-01;108,569272;90,393437;198,940321;37,309201;616,348435;416,447611;100,782496;49,375481;419,682469;91,016606;83,462936
1995-07-01;108,950162;87,100076;169,961499;44,014544;617,737228;435,594492;103,423332;48,717606;427,763769;88,116651;81,94888
1995-08-01;108,737411;87,324797;212,158988;45,384272;555,098728;493,992858;99,294355;39,076967;399,393502;87,086654;81,303646
1995-09-01;109,923494;88,611744;203,416569;46,592705;591,403912;460,443402;101,66288;47,523023;448,040186;89,113353;83,020028
1995-10-01;109,94454;90,1122;197,316895;43,844244;629,998254;425,496923;100,029947;46,886273;379,809566;90,617528;83,260279
1995-11-01;108,185576;89,758654;203,028435;49,269203;621,517611;410,367965;98,676091;50,169052;433,989456;90,051574;83,210107
1995-12-01;109,272574;89,442862;196,444709;46,240477;573,842753;403,426765;101,438564;45,805157;480,393221;89,761108;83,536821
1996-01-01;110,660743;86,337713;215,547737;47,288999;605,977062;465,735964;101,924957;48,053747;374,89811;86,665033;81,660001
1996-02-01;109,098967;86,88125;205,084067;53,28302;622,082549;466,768411;100,746472;51,829671;413,703442;87,423771;82,14173
1996-03-01;109,503751;86,761945;199,177692;51,1562;638,378908;477,328493;104,29925;47,725058;419,024224;87,315853;82,58965
1996-04-01;103,916469;86,853004;187,273578;49,782531;650,747669;499,128851;103,17699;47,365497;401,538857;87,510882;81,548992
1996-05-01;110,656515;86,586349;182,432779;47,775275;612,01994;478,07876;101,968431;48,370931;407,960199;87,107033;81,53072
1996-06-01;113,858868;87,505689;193,491272;49,916539;583,58431;518,05364;105,713785;49,032595;409,908309;88,300043;82,362327
1996-07-01;116,366589;87,734355;216,66836;52,940366;613,66908;552,779399;105,027049;50,530935;415,430887;88,188831;82,386243
1996-08-01;117,717892;88,132117;192,242246;53,052024;603,405382;461,657428;105,623167;46,215765;421,569458;88,318726;82,532474
1996-09-01;114,488721;87,296392;182,874722;58,225593;566,091596;481,920568;105,98562;44,67902;460,497993;88,07388;82,16333
1996-10-01;112,431897;86,735133;192,299421;56,906991;582,164235;504,195044;104,657687;47,289426;357,023256;87,00771;81,6835
1996-11-01;109,474772;85,865499;194,225321;52,614114;602,909506;515,2845;105,67542;49,224797;382,980421;86,192108;81,526157
1996-12-01;111,443845;85,335646;206,159338;58,881706;573,513235;505,61606;105,117919;49,571705;410,933526;85,546557;81,109988
1997-01-01;110,019483;86,318673;178,779725;56,822729;579,456136;507,826851;99,907965;49,603185;384,856612;86,608659;81,94254
1997-02-01;112,722203;86,627705;190,093734;60,411939;607,611142;518,753328;103,133601;51,404866;404,057256;87,656158;82,167566
1997-03-01;108,217442;86,085072;187,41571;59,093378;570,281533;544,588959;103,857529;53,774841;394,97924;86,634721;81,081258
1997-04-01;118,588196;88,286766;226,799235;60,186939;643,027193;549,922488;102,544429;54,620878;412,071174;88,895858;83,634048
1997-05-01;111,09827;88,140603;204,281745;54,465928;565,131311;555,224423;102,946389;53,404446;407,691756;88,842578;83,365396
1997-06-01;111,498341;88,457712;208,443467;50,854522;589,356262;548,550604;102,359461;55,933152;395,414205;89,131247;83,567704
1997-07-01;110,291339;88,951714;182,696018;52,095735;526,234959;540,739975;102,335238;51,561918;427,694203;89,414489;84,163262
1997-08-01;108,81331;87,855397;209,411409;55,890771;550,680733;436,891152;104,158086;50,057621;408,399991;88,509004;83,855009
1997-09-01;109,111089;87,474065;255,36015;47,151177;564,647629;524,937255;103,312807;46,052824;428,151497;87,949243;82,669023
1997-10-01;109,130208;87,762784;267,370261;57,698881;567,219593;530,597446;103,349313;48,727324;429,48207;88,008977;83,760015
1997-11-01;110,177525;88,130013;263,426944;55,458449;549,169204;530,56563;105,606021;48,758806;420,384487;88,566627;84,301525
1997-12-01;110,507765;88,68527;266,56851;53,04803;574,455642;554,312636;104,410254;48,815206;437,851291;88,677123;84,164178
1998-01-01;111,473529;92,353766;248,017691;60,956663;551,344278;514,671418;105,812463;53,9804;435,732468;93,102414;85,544062
1998-02-01;108,381391;91,497886;270,182011;52,966478;558,382884;537,50889;107,207645;49,646428;419,770939;92,382864;85,41707
1998-03-01;109,391803;91,930369;243,263465;53,984248;575,310893;508,408434;105,517183;50,30689;488,78824;92,860337;85,903722
1998-04-01;111,372969;91,85521;187,531951;57,247065;591,266606;499,344697;105,386911;47,866425;420,049957;92,717956;85,87597
1998-05-01;108,532963;91,850869;196,831675;56,116936;579,848415;517,908098;105,882849;48,284909;413,836582;92,538221;86,874676
1998-06-01;108,644406;91,600427;173,452399;57,910755;561,777548;508,660002;108,3603;44,26598;353,750638;92,224674;85,785753
